#,Başlık,Tarih,2. Tarih,3. Tarih,Notlar
1,"<a href=""https://eksisozluk.com/?q=whatsapp grubuna çükünün fotoğrafını atan müdür"">whatsapp grubuna çükünün fotoğrafını atan müdür</a>",19/03/2021,,,"<a href=""https://web.archive.org/web/20210328190110/https://odatv4.com/ciplak-mudur-ortaligi-karistirdi-0811161200.html"">Arşiv</a>"
2,"<a href=""https://eksisozluk.com/?q=efe bezci"">efe bezci</a>",16/03/2021,,,"<a href=""https://web.archive.org/web/20200623004450/https://www.sabah.com.tr/yazarlar/gunaydin/tuba-kalcik/2020/06/11/reyhan-cagla-bezci-o-gece-beni-kurtaran-emniyet-guclerine-minnettarim"">Arşiv</a>"
3,"<a href=""https://eksisozluk.com/?q=iş kadınının parasını almakla suçlanan savcı"">iş kadınının parasını almakla suçlanan savcı</a>",11/03/2021,,,"<a href=""https://web.archive.org/web/20210218083949/https://t24.com.tr/haber/orgut-kurma-irtikap-gorevi-kotuye-kullanma-ile-suclaniyordu-yargitay-uyesi-aydiner-in-dosyasi-kapatildi,933824"">Arşiv</a>"
4,"<a href=""https://eksisozluk.com/?q=erkek hastasını muayene etmeyen türbanlı doktor"">erkek hastasını muayene etmeyen türbanlı doktor</a>",03/03/2021,,,Yazar iddiası.
5,"<a href=""https://eksisozluk.com/?q=duyduğu sesler yüzünden oğlunu kesen adam"">duyduğu sesler yüzünden oğlunu kesen adam</a>",03/03/2021,,,“boğazını keserek oğlunu kurban eden baba” başlığı ile bağlantılı.
6,"<a href=""https://eksisozluk.com/?q=tülay omma"">tülay omma</a>",03/03/2021,,,"“erkek hastasını muayene etmeyen türbanlı doktor"" başlığı ile bağlantılı."
7,"<a href=""https://eksisozluk.com/?q=oğlunu ensesinden kesen babanın görüntüsü"">oğlunu ensesinden kesen babanın görüntüsü</a>",03/03/2021,,,“boğazını keserek oğlunu kurban eden baba” başlığı ile bağlantılı.
8,"<a href=""https://eksisozluk.com/?q=rüyada gördü diye kendi oğlunu kesen adam"">rüyada gördü diye kendi oğlunu kesen adam</a>",03/03/2021,,,“boğazını keserek oğlunu kurban eden baba” başlığı ile bağlantılı.
9,"<a href=""https://eksisozluk.com/?q=boğazını keserek oğlunu kurban eden baba"">boğazını keserek oğlunu kurban eden baba</a>",03/03/2021,,,"<a href=""https://web.archive.org/web/20210305081231/https://www.ntv.com.tr/turkiye/zonguldak-caycumada-oglunun-bogazini-kesen-baba-oglumu-allah-yoluna-adadim,yW04LOuu-kiBcYWct-8b4Q"">Arşiv</a>"
10,"<a href=""https://eksisozluk.com/?q=hediye dağdeviren"">hediye dağdeviren</a>",03/03/2021,,,"<a href=""https://archive.is/k2oOW"">Arşiv</a>. sikayetvar.com üzerindeki bir şikayeti sözlüğe taşıyan bir girdiyi sildirmek için başlığı engellettiği görülüyor."
11,"<a href=""https://eksisozluk.com/?q=berat albayrak nerede"">berat albayrak nerede</a>",26/02/2021,,,"Görevden <a href=""https://web.archive.org/web/20201109185653/https://www.bbc.com/turkce/haberler-turkiye-54866696"">affını</a> talep etmesinin akabinde bir süredir sesi soluğu çıkmayan T.C. eski Hazine ve Maliye Bakanı’nın yerinin sorgulanması pek istenmemiş anlaşılan."
12,"<a href=""https://eksisozluk.com/?q=berat albayrak'ın vatana ihanetten yargılanması"">berat albayrak'ın vatana ihanetten yargılanması</a>",26/02/2021,,,
13,"<a href=""https://eksisozluk.com/?q=berat albayrak 150 milyar doları nereye harcadı"">berat albayrak 150 milyar doları nereye harcadı</a>",26/02/2021,,,
14,"<a href=""https://eksisozluk.com/?q=berat albayrak 130 milyar doları ne yaptı"">berat albayrak 130 milyar doları ne yaptı</a>",26/02/2021,,,
15,"<a href=""https://eksisozluk.com/?q=sıddık erikli"">sıddık erikli</a>",26/02/2021,,,"<a href=""https://web.archive.org/web/20210128145116/https://www.superhaber.tv/kim-bu-siddik-erikli-elaziglilar-erdogana-sikayet-etti-video-324337"">Arşiv</a>"
16,"<a href=""https://eksisozluk.com/?q=mustafa helvacı"">mustafa helvacı</a>",24/02/2021,,,"<a href=""https://web.archive.org/web/20210305084408/https://plagiarism-turkish.blogspot.com/2010/06/orhan-bursal-sahte-tezi-bile-calnt-ckt.html"">Arşiv</a>"
17,"<a href=""https://eksisozluk.com/?q=6 şubat 2021 anonymous tweet'i"">6 şubat 2021 anonymous tweet'i</a>",20/02/2021,,,"<a href=""https://web.archive.org/web/20210207155043/https://twitter.com/YourAnonNews/status/1358127397451759616?s=19"">Arşiv</a>"
18,"<a href=""https://eksisozluk.com/?q=taha hülagü"">taha hülagü</a>",11/02/2021,,,"<a href=""https://web.archive.org/web/20210212061244/https://www.cumhuriyet.com.tr/haber/jet-hizinda-yukselis-bir-gunde-memur-olup-cumhurbaskanligina-atandi-1812702"">Arşiv</a>"
19,"<a href=""https://eksisozluk.com/?q=selma merter"">selma merter</a>",09/02/2021,,,
20,"<a href=""https://eksisozluk.com/?q=tarım aşığı yogacı hanım ablamızın pozu"">tarım aşığı yogacı hanım ablamızın pozu</a>",28/01/2021,,,
21,"<a href=""https://eksisozluk.com/?q=calla black’in çalışanlarını aşağılayan afişi"">calla black’in çalışanlarını aşağılayan afişi</a>",27/01/2021,,,"<a href=""https://web.archive.org/web/20210318215951/https://haber.sol.org.tr/emek-sermaye/plaza-emekcilerinden-patrona-efsane-yanit-yakinda-gafani-gozunu-kiracak-151172"">Arşiv</a>"
22,"<a href=""https://eksisozluk.com/?q=akplilerin alkollü naz mila’lı keyif partisi"">akplilerin alkollü naz mila’lı keyif partisi</a>",04/01/2021,,,"<a href=""https://web.archive.org/web/20210109165518/https://www.cumhuriyet.com.tr/haber/akpli-vekilin-yegeni-yasaga-ragmen-eglence-mekanini-actirmis-1803935"">Arşiv</a>"
23,"<a href=""https://eksisozluk.com/?q=bilal’in dünya etnospor başkanı olduğu yalanı"">bilal’in dünya etnospor başkanı olduğu yalanı</a>",31/12/2020,,,"<a href=""https://web.archive.org/web/20210305193845/https://eksisozluk.com/entry/117605152"">Arşiv</a>"
24,"<a href=""https://eksisozluk.com/?q=yavuz bingöl’ün kumar masasında görüntülenmesi"">yavuz bingöl’ün kumar masasında görüntülenmesi</a>",31/12/2020,,,"<a href=""https://web.archive.org/web/20210305194047/https://tele1.com.tr/saray-turkucusu-yavuz-bingol-yeniden-kumar-masasinda-goruntulendi-82625/"">Arşiv</a>"
25,"<a href=""https://eksisozluk.com/?q=dipsiz göl"">dipsiz göl</a>",29/12/2020,,,"Define arama <a href=""https://web.archive.org/web/20210219110930/http://www.diken.com.tr/define-soylentisi-cikti-dipsiz-golun-suyu-yasal-izinle-tahliye-edildi/"">çalışmaları</a> ile bağlantılı. Engelleme geri alınmış gibi gözüküyor."
26,"<a href=""https://eksisozluk.com/?q=dipsiz göl’ün valilik izniyle yok edilmesi"">dipsiz göl’ün valilik izniyle yok edilmesi</a>",29/12/2020,,,"<a href=""https://web.archive.org/web/20210219110930/http://www.diken.com.tr/define-soylentisi-cikti-dipsiz-golun-suyu-yasal-izinle-tahliye-edildi/"">Arşiv</a>. Engelleme geri alınmış gibi gözüküyor."
27,"<a href=""https://eksisozluk.com/?q=dipsiz göl’ün millete bir faydası yok"">dipsiz göl’ün millete bir faydası yok</a>",29/12/2020,,,"<a href=""https://web.archive.org/web/20201029113551/https://www.haberler.com/yayla-sakinleri-dipsiz-gol-un-kapatilmasini-istedi-12627076-haberi/"">Arşiv</a>. Engelleme geri alınmış gibi gözüküyor."
28,"<a href=""https://eksisozluk.com/?q=dipsiz göl’ün eski haline gelmesi"">dipsiz göl’ün eski haline gelmesi</a>",29/12/2020,,,“Dipsiz göl” terimini içeren tüm başlıkları engelletme girişiminden nasibini almış bir troll başlık. Engelleme geri alınmış gibi gözüküyor.
29,"<a href=""https://eksisozluk.com/?q=dipsiz göl’e tankerlerle su doldurulması"">dipsiz göl’e tankerlerle su doldurulması</a>",29/12/2020,,,"<a href=""https://web.archive.org/web/20191221072848/https://t24.com.tr/haber/yok-edilen-dipsiz-gol-e-tankerle-su-takviyesi-gundemde,848829"">Arşiv</a>"
30,"<a href=""https://eksisozluk.com/?q=dipsiz göl’ün sit alanı ilan edilmesi"">dipsiz göl’ün sit alanı ilan edilmesi</a>",29/12/2020,,,"<a href=""https://web.archive.org/web/20201129133846/https://www.birgun.net/haber/bakan-kurum-dipsiz-gol-dogal-sit-alani-ilan-edilecek-276810"">Arşiv</a>. Engelleme geri alınmış gibi gözüküyor."
31,"<a href=""https://eksisozluk.com/?q=görkem sertaç göçmen"">görkem sertaç göçmen</a>",29/12/2020,,,"<a href=""https://web.archive.org/web/20201226122634/https://www.birgun.net/haber/suc-makinesi-gorkem-sertac-gocmen-hakkinda-18-yil-hapis-istemi-307714"">Arşiv</a>"
32,"<a href=""https://eksisozluk.com/?q=fethiye belediye başkanı’nın magandalığı"">fethiye belediye başkanı’nın magandalığı</a>",24/12/2020,,,"<a href=""https://web.archive.org/web/20201117040429/https://www.haberler.com/fethiye-de-belediye-baskani-ile-tatilci-arasinda-13622328-haberi/"">Arşiv</a>"
33,"<a href=""https://eksisozluk.com/?q=alim karaca"">alim karaca</a>",24/12/2020,,,“fethiye belediye başkanı’nın magandalığı” başlığı ile bağlantılı.
34,"<a href=""https://eksisozluk.com/?q=aysun bay karabulut"">aysun bay karabulut</a>",23/12/2020,,,"<a href=""https://web.archive.org/web/20181121004641/https://odatv.com/malatyayi-karistiran-torpil-20111836_m.html"">Arşiv</a>"
35,"<a href=""https://eksisozluk.com/?q=erasmus projelerinde kadınları taciz eden sapık"">erasmus projelerinde kadınları taciz eden sapık</a>",22/12/2020,,,
36,"<a href=""https://eksisozluk.com/?q=mehmet salih saraç"">mehmet salih saraç</a>",20/12/2020,,,"<a href=""https://web.archive.org/web/20201031225244/https://www.gercekgundem.com/siyaset/204721/jakuzi-sefasinda-hakaret-eden-akpli-baskan-makamlardan-makam-begendi/"">Arşiv</a>"
37,"<a href=""https://eksisozluk.com/?q=kuru ekmek yiyin diyen vekilin yemek faturaları"">kuru ekmek yiyin diyen vekilin yemek faturaları</a>",18/12/2020,,,"<a href=""https://web.archive.org/web/20210129125849/https://www.gastecin.com/vatandasa-kuru-ekmek-yeter-yenilen-kebaplari-belediye-oder/"">Arşiv</a>"
38,"<a href=""https://eksisozluk.com/?q=erdem güler"">erdem güler</a>",15/12/2020,,,“erasmus projelerinde kadınları taciz eden sapık” başlığı ile bağlantılı.
39,"<a href=""https://eksisozluk.com/?q=birevim mamak şubesi"">birevim mamak şubesi</a>",14/12/2020,,,"Birevim çağrı merkezi çalışanı olan, veya bu rolü yapan kişinin +18 videosundan sonra gelen bir engelleme."
40,"<a href=""https://eksisozluk.com/?q=refik tabakçı"">refik tabakçı</a>",14/12/2020,,,"<a href=""https://archive.is/UD9jk"">Arşiv</a>"
41,"<a href=""https://eksisozluk.com/?q=13 yaşındaki arkadaşını çekiçle öldüren çocuk"">13 yaşındaki arkadaşını çekiçle öldüren çocuk</a>",03/12/2020,,,"<a href=""https://web.archive.org/web/20201128085308/https://www.yenisafak.com/gundem/ankara-haberleri-13-yasindaki-arkadasini-cekicle-oldurdu-cinayetin-altindan-bilgisayar-oyunu-kavgasi-cikti-3575323"">Arşiv</a>"
42,"<a href=""https://eksisozluk.com/?q=ekolojik enerji"">ekolojik enerji</a>",02/12/2020,,,"Girdilerde doğayı kirlettikleri söylense de iddialar tarafımızca doğrulanamadı. Görünen o ki şimdilik yırttılar, kendilerini tebrik ediyoruz."
43,"<a href=""https://eksisozluk.com/?q=medet nebi yanık"">medet nebi yanık</a>",01/12/2020,,,"<a href=""https://web.archive.org/web/20180217225528/http://www.sozcu.com.tr:80/2015/gundem/17-aralikta-para-tasiyan-adam-danisman-oldu-1023759"">Arşiv</a>"
44,"<a href=""https://eksisozluk.com/?q=sulaiman bako"">sulaiman bako</a>",12/11/2020,,,“27 ekim 2020 özel levent hastanesi taciz skandalı” başlığı ile bağlantılı.
45,"<a href=""https://eksisozluk.com/?q=27 ekim 2020 özel levent hastanesi taciz skandalı"">27 ekim 2020 özel levent hastanesi taciz skandalı</a>",12/11/2020,,,
46,"<a href=""https://eksisozluk.com/?q=iş isteyen kadınlara tacizde bulunan müzayedeci"">iş isteyen kadınlara tacizde bulunan müzayedeci</a>",12/11/2020,,,"<a href=""https://web.archive.org/web/20191112105354/https://odatv.com/kultur-sanat-camiasinin-cok-unlu-gizli-sapigi-kim-10111904.html"">Arşiv</a>"
47,"<a href=""https://eksisozluk.com/?q=activity friend"">activity friend</a>",06/11/2020,,,"<a href=""https://archive.is/Acmul"">Arşiv</a>"
48,"<a href=""https://eksisozluk.com/?q=mehmet çevik"">mehmet çevik</a>",05/11/2020,,,"<a href="""">Arşiv</a>"
49,"<a href=""https://eksisozluk.com/?q=oğuz köktaş"">oğuz köktaş</a>",04/11/2020,10/12/2020,,"<a href=""https://archive.is/ZFrCY"">Arşiv</a>"
50,"<a href=""https://eksisozluk.com/?q=selami korkmaz"">selami korkmaz</a>",02/11/2020,,,“sikmiyorlar mı seni” başlığı ile bağlantılı.
51,"<a href=""https://eksisozluk.com/?q=sikmiyorlar mı seni"">sikmiyorlar mı seni</a>",02/11/2020,,,"<a href=""https://web.archive.org/web/20200325145315/https://twitter.com/parfaitbabewolf/status/1242648270209458179"">Arşiv</a>"
52,"<a href=""https://eksisozluk.com/?q=küçük şeyler anaokulu"">küçük şeyler anaokulu</a>",02/11/2020,,,“sikmiyorlar mı seni” başlığı ile bağlantılı.
53,"<a href=""https://eksisozluk.com/?q=anaokulu müdürünün attığı igrenç mesaj"">anaokulu müdürünün attığı igrenç mesaj</a>",02/11/2020,,,“sikmiyorlar mı seni” başlığı ile bağlantılı.
54,"<a href=""https://eksisozluk.com/?q=uzman psikolojik danışmanın küfürlü sorusu"">uzman psikolojik danışmanın küfürlü sorusu</a>",02/11/2020,,,“sikmiyorlar mı seni” başlığı ile bağlantılı.
55,"<a href=""https://eksisozluk.com/?q=twitterda dmden hakaret eden adam"">twitterda dmden hakaret eden adam</a>",02/11/2020,,,“sikmiyorlar mı seni” başlığı ile bağlantılı.
56,"<a href=""https://eksisozluk.com/?q=25 mart 2020 bornova küçükşeyler anaokulu rezaleti"">25 mart 2020 bornova küçükşeyler anaokulu rezaleti</a>",02/11/2020,,,“sikmiyorlar mı seni” başlığı ile bağlantılı.
57,"<a href=""https://eksisozluk.com/?q=selami korkmaz tacizi"">selami korkmaz tacizi</a>",02/11/2020,,,“sikmiyorlar mı seni” başlığı ile bağlantılı.
58,"<a href=""https://eksisozluk.com/?q=küçük şeyler anaokulları"">küçük şeyler anaokulları</a>",02/11/2020,,,“sikmiyorlar mı seni” başlığı ile bağlantılı.
59,"<a href=""https://eksisozluk.com/?q=hale bağce özbaş"">hale bağce özbaş</a>",28/10/2020,,,“baldızına iltimas geçen ilçe milli eğitim müdürü” başlığı ile bağlantılı.
60,"<a href=""https://eksisozluk.com/?q=baldızına iltimas geçen ilçe milli eğitim müdürü"">baldızına iltimas geçen ilçe milli eğitim müdürü</a>",28/10/2020,,,"<a href=""https://web.archive.org/web/20201211065525/https://www.cumhuriyet.com.tr/haber/baldiza-eniste-kiyagi-1524352"">Arşiv</a>"
61,"<a href=""https://eksisozluk.com/?q=yusuf büyük"">yusuf büyük</a>",28/10/2020,,,“baldızına iltimas geçen ilçe milli eğitim müdürü” başlığı ile bağlantılı.
